order_id,customer_id,product_id,category,quantity,price,order_date,country,payment_method,revenue
100000,1102,335,Home,3,7.46,31-01-2023,Australia,Card,22.38
100001,1435,319,Electronics,4,340.55,22-12-2023,UK,PayPal,1362.2
100002,1348,325,Electronics,3,277.2,14-11-2023,Australia,PayPal,831.6
100003,1270,254,Books,4,168.83,03-06-2023,Canada,Card,675.32
100004,1106,226,Clothing,1,88.64,30-12-2023,USA,NetBanking,88.64
100005,1071,317,Sports,3,236.02,24-02-2023,Canada,Card,708.06
100006,1188,252,Home,4,54.64,05-06-2023,Canada,Card,218.56
100007,1020,238,Electronics,2,171.37,13-02-2023,USA,UPI,342.74
100008,1102,264,Home,1,192.71,22-03-2023,India,NetBanking,192.71
100009,1121,344,Clothing,1,235.48,15-06-2023,India,PayPal,235.48
100010,1466,357,Clothing,2,235.98,30-01-2023,Germany,Card,471.96
100011,1214,380,Home,2,132.22,18-11-2023,India,NetBanking,264.44
100012,1330,212,Sports,4,425.85,16-05-2023,UK,PayPal,1703.4
100013,1458,220,Clothing,1,180.99,14-01-2023,Australia,UPI,180.99
100014,1087,346,Home,4,118.65,23-12-2023,Canada,UPI,474.6
100015,1372,252,Electronics,2,92.03,16-04-2023,Germany,NetBanking,184.06
100016,1099,218,Home,1,164.68,25-12-2023,Canada,Card,164.68
100017,1359,256,Home,2,38.44,14-11-2023,USA,PayPal,76.88
100018,1151,224,Books,4,21.29,16-03-2023,India,NetBanking,85.16
100019,1130,230,Clothing,4,304.55,20-03-2023,USA,UPI,1218.2
100020,1149,280,Sports,4,311.48,13-07-2023,Germany,PayPal,1245.92
100021,1308,382,Sports,1,267.15,29-12-2023,Australia,PayPal,267.15
100022,1257,222,Books,2,382.33,06-04-2023,UK,Card,764.66
100023,1343,231,Sports,2,24.38,09-02-2023,India,UPI,48.76
100024,1491,389,Home,4,468.31,13-09-2023,USA,UPI,1873.24
100025,1413,273,Books,4,52.06,17-04-2023,Australia,UPI,208.24
100026,1293,209,Electronics,4,338.64,17-01-2023,India,PayPal,1354.56
100027,1385,399,Clothing,4,71.03,15-01-2023,Canada,UPI,284.12
100028,1191,253,Clothing,3,440.55,29-09-2023,UK,NetBanking,1321.65
100029,1443,251,Clothing,3,257.8,13-01-2023,Australia,UPI,773.4
100030,1276,347,Home,3,45.74,04-09-2023,India,PayPal,137.22
100031,1160,359,Electronics,4,310.28,02-08-2023,UK,UPI,1241.12
100032,1459,313,Books,4,9.51,31-05-2023,Australia,UPI,38.04
100033,1313,213,Books,2,389.13,19-10-2023,Canada,PayPal,778.26
100034,1021,377,Clothing,1,327.04,12-02-2023,Canada,UPI,327.04
100035,1252,355,Electronics,2,110.25,24-04-2023,USA,Card,220.5
100036,1235,309,Electronics,3,190.5,26-11-2023,Germany,PayPal,571.5
100037,1344,252,Electronics,2,8.86,22-03-2023,USA,UPI,17.72
100038,1048,351,Sports,4,348.37,16-12-2023,UK,Card,1393.48
100039,1474,278,Sports,3,164.72,21-05-2023,USA,NetBanking,494.16
100040,1058,221,Clothing,3,287.94,30-01-2023,Australia,PayPal,863.82
100041,1169,229,Electronics,1,478.58,30-01-2023,India,UPI,478.58
100042,1475,390,Electronics,1,153.24,23-09-2023,Australia,PayPal,153.24
100043,1187,203,Books,3,495.17,09-04-2023,USA,Card,1485.51
100044,1463,258,Books,3,318.2,04-04-2023,Germany,PayPal,954.6
100045,1270,207,Clothing,2,124.83,30-07-2023,Australia,NetBanking,249.66
100046,1189,211,Electronics,3,221.21,22-10-2023,Australia,UPI,663.63
100047,1445,318,Clothing,4,371.52,06-02-2023,Australia,NetBanking,1486.08
100048,1174,358,Books,2,226.01,30-03-2023,Germany,Card,452.02
100049,1445,233,Books,4,38.91,12-09-2023,Australia,PayPal,155.64
100050,1050,281,Sports,4,88.46,02-08-2023,UK,UPI,353.84
100051,1363,297,Clothing,4,396.69,14-01-2023,Canada,UPI,1586.76
100052,1054,326,Clothing,3,325.94,11-07-2023,Germany,Card,977.82
100053,1243,274,Electronics,1,287.06,22-10-2023,UK,Card,287.06
100054,1319,304,Electronics,1,87.97,01-07-2023,Germany,PayPal,87.97
100055,1130,248,Sports,4,419.69,10-05-2023,Germany,UPI,1678.76
100056,1484,278,Home,3,480.57,12-08-2023,Canada,Card,1441.71
100057,1306,384,Home,2,25.24,12-02-2023,India,UPI,50.48
100058,1134,292,Home,4,43.63,30-06-2023,UK,PayPal,174.52
100059,1020,353,Clothing,2,442.94,18-06-2023,Germany,NetBanking,885.88
100060,1328,217,Clothing,2,408.7,21-09-2023,Germany,Card,817.4
100061,1166,295,Books,3,310.88,06-04-2023,USA,PayPal,932.64
100062,1273,237,Clothing,3,472.76,22-07-2023,Australia,NetBanking,1418.28
100063,1387,286,Clothing,1,324.98,17-11-2023,India,PayPal,324.98
100064,1088,287,Clothing,1,111.91,01-12-2023,Canada,Card,111.91
100065,1315,249,Sports,3,365.68,09-03-2023,UK,PayPal,1097.04
100066,1013,207,Clothing,4,324.63,02-04-2023,Germany,UPI,1298.52
100067,1241,368,Electronics,1,492.94,23-09-2023,Australia,Card,492.94
100068,1264,333,Electronics,2,110.88,27-11-2023,UK,UPI,221.76
100069,1345,268,Books,4,300.95,27-06-2023,Canada,PayPal,1203.8
100070,1052,371,Sports,2,391.18,31-05-2023,India,Card,782.36
100071,1385,320,Electronics,3,172.8,13-11-2023,USA,UPI,518.4
100072,1339,263,Sports,2,192.94,16-02-2023,India,UPI,385.88
100073,1091,356,Sports,4,444.51,03-01-2023,USA,UPI,1778.04
100074,1366,355,Books,3,205.08,13-04-2023,UK,NetBanking,615.24
100075,1443,338,Sports,4,314.24,30-09-2023,India,UPI,1256.96
100076,1454,320,Clothing,2,445.17,22-01-2023,India,UPI,890.34
100077,1427,264,Sports,4,108.86,26-04-2023,India,PayPal,435.44
100078,1263,306,Books,3,491.03,13-12-2023,Canada,PayPal,1473.09
100079,1430,346,Books,2,352.47,14-04-2023,UK,PayPal,704.94
100080,1034,336,Books,2,250.58,16-09-2023,USA,PayPal,501.16
100081,1205,354,Electronics,1,218.31,04-11-2023,India,NetBanking,218.31
100082,1080,361,Clothing,1,477.41,25-10-2023,UK,PayPal,477.41
100083,1419,371,Electronics,4,106.83,10-05-2023,Australia,PayPal,427.32
100084,1049,395,Home,1,159.28,22-10-2023,Canada,PayPal,159.28
100085,1359,299,Clothing,1,157.36,29-10-2023,Canada,UPI,157.36
100086,1387,281,Sports,1,148.06,17-02-2023,Australia,NetBanking,148.06
100087,1001,342,Books,1,236.93,27-01-2023,UK,PayPal,236.93
100088,1389,250,Home,3,494.64,15-01-2023,USA,UPI,1483.92
100089,1053,340,Clothing,3,444.95,20-09-2023,UK,Card,1334.85
100090,1105,282,Electronics,1,167.34,31-12-2023,UK,NetBanking,167.34
100091,1259,376,Books,4,214.32,25-10-2023,Germany,PayPal,857.28
100092,1309,397,Electronics,3,336.39,22-09-2023,Canada,UPI,1009.17
100093,1476,311,Clothing,1,13.49,27-12-2023,USA,Card,13.49
100094,1190,255,Clothing,3,410.98,14-05-2023,Germany,Card,1232.94
100095,1401,378,Home,2,440.5,17-03-2023,Australia,UPI,881
100096,1217,364,Sports,3,429.31,30-01-2023,UK,UPI,1287.93
100097,1043,344,Electronics,3,190.65,06-12-2023,Australia,NetBanking,571.95
